Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"sendKeys(findTestObject(""Admin_Menu/User_Management/Users/input_Username""), USERNAME)",Chrome 121.0.0.0,,,29-01-2024 23:54:47,29-01-2024 23:54:48,0.807s,PASSED
"click(findTestObject(""Admin_Menu/User_Management/Users/dropdown_user_role""))",Chrome 121.0.0.0,,,29-01-2024 23:54:48,29-01-2024 23:54:49,0.703s,PASSED
"click(findTestObject(""Admin_Menu/User_Management/Users/span_ESS""))",Chrome 121.0.0.0,,,29-01-2024 23:54:49,29-01-2024 23:54:49,0.859s,PASSED
"sendKeys(findTestObject(""Admin_Menu/User_Management/Users/input_Employee_Name""), EMPLOYEE_NAME)",Chrome 121.0.0.0,,,29-01-2024 23:54:49,29-01-2024 23:54:50,0.827s,PASSED
"verifyElementVisible(findTestObject(""Admin_Menu/User_Management/Users/span_Odis  Adalwin""))",Chrome 121.0.0.0,,,29-01-2024 23:54:50,29-01-2024 23:54:52,2.124s,PASSED
"click(findTestObject(""Admin_Menu/User_Management/Users/span_Odis  Adalwin""))",Chrome 121.0.0.0,,,29-01-2024 23:54:52,29-01-2024 23:54:53,0.839s,PASSED
"click(findTestObject(""Admin_Menu/User_Management/Users/dropdown_status""))",Chrome 121.0.0.0,,,29-01-2024 23:54:53,29-01-2024 23:54:54,0.824s,PASSED
"click(findTestObject(""Admin_Menu/User_Management/Users/span_Disabled""))",Chrome 121.0.0.0,,,29-01-2024 23:54:54,29-01-2024 23:54:55,0.854s,PASSED
"click(findTestObject(""Admin_Menu/User_Management/Users/button_Search""))",Chrome 121.0.0.0,,,29-01-2024 23:54:55,29-01-2024 23:54:56,0.748s,PASSED
,,,,,,,
Test Cases/Features/Admin/TC_Admin_008_Ensure Data User Updated,Chrome 121.0.0.0,,Jan,29-01-2024 23:54:56,29-01-2024 23:55:30,34.447s,PASSED
"callTestCase(findTestCase(""Features/Admin/TC_Admin_007_Search Updated User""), [:], STOP_ON_FAILURE)",Chrome 121.0.0.0,,,29-01-2024 23:54:56,29-01-2024 23:55:27,30.862s,PASSED
"verifyElementPresent(findTestObject(""Admin_Menu/User_Management/Users/div_John Doe""), 0)",Chrome 121.0.0.0,,,29-01-2024 23:55:27,29-01-2024 23:55:28,1.053s,PASSED
"verifyElementPresent(findTestObject(""Admin_Menu/User_Management/Users/div_ESS""), 0)",Chrome 121.0.0.0,,,29-01-2024 23:55:28,29-01-2024 23:55:29,0.651s,PASSED
"verifyElementPresent(findTestObject(""Admin_Menu/User_Management/Users/div_Odis Adalwin""), 0)",Chrome 121.0.0.0,,,29-01-2024 23:55:29,29-01-2024 23:55:29,0.648s,PASSED
"verifyElementPresent(findTestObject(""Admin_Menu/User_Management/Users/div_Disable""), 0)",Chrome 121.0.0.0,,,29-01-2024 23:55:29,29-01-2024 23:55:30,0.595s,PASSED
,,,,,,,
Test Cases/Features/Admin/TC_Admin_009_Delete User,Chrome 121.0.0.0,,Jan,29-01-2024 23:55:30,29-01-2024 23:56:39,1m - 9.342s,PASSED
"callTestCase(findTestCase(""Features/Admin/TC_Admin_008_Ensure Data User Updated""), [:], STOP_ON_FAILURE)",Chrome 121.0.0.0,,,29-01-2024 23:55:31,29-01-2024 23:56:06,35.054s,PASSED
"click(findTestObject(""Admin_Menu/User_Management/Users/btn_i_Enabled_oxd-icon bi-trash""))",Chrome 121.0.0.0,,,29-01-2024 23:56:06,29-01-2024 23:56:06,0.724s,PASSED
"verifyElementVisible(findTestObject(""Admin_Menu/User_Management/Users/div_modals_delete""))",Chrome 121.0.0.0,,,29-01-2024 23:56:06,29-01-2024 23:56:07,0.812s,PASSED
"click(findTestObject(""Admin_Menu/User_Management/Users/button_Yes, Delete""))",Chrome 121.0.0.0,,,29-01-2024 23:56:07,29-01-2024 23:56:39,32.207s,PASSED
,,,,,,,
Test Cases/Features/Admin/TC_Admin_010_Ensure User Deleted,Chrome 121.0.0.0,,Jan,29-01-2024 23:56:39,29-01-2024 23:57:15,35.134s,PASSED
"callTestCase(findTestCase(""Features/Admin/TC_Admin_007_Search Updated User""), [:], STOP_ON_FAILURE)",Chrome 121.0.0.0,,,29-01-2024 23:56:40,29-01-2024 23:57:13,33.270s,PASSED
"verifyElementVisible(findTestObject(""Admin_Menu/User_Management/Users/div_InfoNo Records Found""))",Chrome 121.0.0.0,,,29-01-2024 23:57:13,29-01-2024 23:57:15,1.123s,PASSED
